Epic,IssueKey,Title,Team,Label,Priority,SpecPath,AcceptanceCriteria,Description
E4 ERP Core Wave 1,E4.3,Ledgers COA,ERP Core,feat,P0,docs/requirements/v3/accounts_master/ledgers.md,"COA CRUD opening balance Dr Cr","Chart of accounts"
E4 ERP Core Wave 1,E4.4,Godown,ERP Core,feat,P0,docs/requirements/v3/master/godown.md,"CRUD godown hierarchical parent","Warehouse master"
E4 ERP Core Wave 1,E4.5,Sales post and list,ERP Core,feat,P0,docs/requirements/v3/transaction/sales.md,"Post credit sale stock out ledger ageing","Sales engine"
E4 ERP Core Wave 1,E4.6,Purchase post and list,ERP Core,feat,P0,docs/requirements/v3/transaction/purchase.md,"Post purchase stock in ledger","Purchase engine"
E4 ERP Core Wave 1,E4.7,Vouchers payment receipt journal contra,ERP Core,feat,P0,docs/requirements/v3/transaction/vouchers.md,"Post P/R/J/C with balanced journal","Voucher engine"
E4 ERP Core Wave 1,E4.8,Stock journal and physical,ERP Core,feat,P0,docs/requirements/v3/stock/stock-journal.md,"Stock journal and physical count adjust qty","Stock tools"
E4 ERP Core Wave 1,E4.9,Users and menu permissions,ERP Core,feat,P0,docs/requirements/v3/settings/users.md,"Users CRUD menu_to_user grants","Tenant user admin"
E4 ERP Core Wave 1,E4.10,Meilisearch index items customers,ERP Core,feat,P1,docs/architecture/tech-stack.md,"Typeahead searches company-scoped index","Search indexes per company"
E5 Legacy migration,E5.1,Migration wizard UI package checklist,Migration,feat,P0,docs/architecture/tech-stack.md,"Checklist select packages with dependencies","Super Admin migration wizard"
E5 Legacy migration,E5.2,Connect legacy MySQL discover counts,Migration,feat,P0,docs/architecture/tech-stack.md,"Discover shows row counts min max dates","Legacy connection step"
E5 Legacy migration,E5.3,Migrate masters parties items,Migration,feat,P0,docs/architecture/tech-stack.md,"Selected master packages load to Postgres","Master data migration"
E5 Legacy migration,E5.4,Migrate all selected txn packages,Migration,feat,P0,docs/architecture/tech-stack.md,"Full history sales purchase vouchers stock ledger ageing","Transaction migration date-batched"
E5 Legacy migration,E5.5,Validation report counts money totals,Migration,feat,P0,docs/architecture/tech-stack.md,"Report compares legacy vs new counts totals","Migration validation"
E5 Legacy migration,E5.6,Cutover Meilisearch rebuild,Migration,feat,P0,docs/architecture/tech-stack.md,"Tenant Active LegacyMigrationStatus Done index rebuilt","Cutover step"
E5 Legacy migration,E5.7,Pilot one real company end-to-end,Migration,feat,P0,docs/architecture/tech-stack.md,"One real company migrated and signed off","Pilot cutover"
E6 Field Flutter,E6.1,Flutter app flavors sales van customer,Field,feat,P1,docs/architecture/tech-stack.md,"Three flavors build from one repo","Mobile app shells"
E6 Field Flutter,E6.2,Offline sync scopes selectable SQLite,Field,feat,P1,docs/architecture/tech-stack.md,"Admin picks sync scopes per role device","Dotmim.Sync scopes"
E6 Field Flutter,E6.3,Van sales offline invoice sync commands,Field,feat,P1,docs/architecture/tech-stack.md,"Offline invoice syncs with ClientRequestId","Van billing offline"
E6 Field Flutter,E6.4,Sales person collections GPS check-in,Field,feat,P1,docs/architecture/tech-stack.md,"Collection + GPS check-in online/offline queue","Field sales"
E6 Field Flutter,E6.5,Customer app catalog order statement,Customer App,feat,P1,docs/architecture/tech-stack.md,"B2B customer orders and statements","Customer mobile"
E7 AI P0,E7.1,Semantic Kernel Ollama config switch,AI,feat,P1,docs/architecture/tech-stack.md,"Provider switch Ollama vs OpenAI-compatible via config","AI host setup"
E7 AI P0,E7.2,AI-01 Smart typeahead Meilisearch,AI,feat,P1,docs/architecture/tech-stack.md,"Typo-tolerant item customer search","AI-01"
E7 AI P0,E7.3,AI-02 Ask your data read-only SQL,AI,feat,P1,docs/architecture/tech-stack.md,"NL question returns cited numbers propose only","AI-02"
E7 AI P0,E7.4,AI-03 Help RAG pgvector,AI,feat,P1,docs/architecture/tech-stack.md,"Help answers from docs FAQ with sources","AI-03"
E7 AI P0,E7.5,AI-04 OCR draft purchase,AI,feat,P2,docs/architecture/tech-stack.md,"Invoice image creates draft purchase for review","AI-04"
E7 AI P0,E7.6,AI-05 Basic anomaly alerts,AI,feat,P2,docs/architecture/tech-stack.md,"Flags unusual discount credit limit duplicates","AI-05"
